ma_truong,nganh_slug,ma_to_hop,phuong_thuc,diem_2021,diem_2022,diem_2023,diem_2024,diem_2025,diem_tb,diem_min,diem_max,diem_moi_nhat,bien_dong,so_nam_co_dl,xu_huong
ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A00,Điểm thi THPT,,,,20.71,24.48,22.6,20.71,24.48,24.48,3.77,2,3.77
ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A01,Điểm thi THPT,,,,20.71,24.48,22.6,20.71,24.48,24.48,3.77,2,3.77
ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X26,Điểm thi THPT,,,,,24.48,24.48,24.48,24.48,24.48,0.0,1,0.0
ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X27,Điểm thi THPT,,,,,24.48,24.48,24.48,24.48,24.48,0.0,1,0.0
ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X28,Điểm thi THPT,,,,,24.48,24.48,24.48,24.48,24.48,0.0,1,0.0
ANH,an-toan-thong-tin,A00,Điểm thi THPT,23.14,21.85,21.08,,,22.02,21.08,23.14,21.08,2.06,3,-1.03
ANH,an-toan-thong-tin,A01,Điểm thi THPT,24.86,23.26,21.08,,,23.07,21.08,24.86,21.08,3.78,3,-1.89
ANH,cong-nghe-thong-tin,A00,Điểm thi THPT,,,,18.69,21.98,20.34,18.69,21.98,21.98,3.29,2,3.29
ANH,cong-nghe-thong-tin,A01,Điểm thi THPT,,,,18.69,21.98,20.34,18.69,21.98,21.98,3.29,2,3.29
ANH,cong-nghe-thong-tin,X26,Điểm thi THPT,,,,,21.98,21.98,21.98,21.98,21.98,0.0,1,0.0
ANH,cong-nghe-thong-tin,X27,Điểm thi THPT,,,,,21.98,21.98,21.98,21.98,21.98,0.0,1,0.0
ANH,cong-nghe-thong-tin,X28,Điểm thi THPT,,,,,21.98,21.98,21.98,21.98,21.98,0.0,1,0.0
