id,ma_truong,nganh_slug,ma_to_hop,phuong_thuc,nam,diem_chuan,ten_nganh_goc
1,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A00,Điểm thi THPT,2024,20.71,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao
2,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A01,Điểm thi THPT,2024,20.71,Ngành An ninh mạng và phòng chống tội phạm công nghệ cao
3,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A00,Điểm thi THPT,2025,24.48,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)"
4,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,A01,Điểm thi THPT,2025,24.48,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)"
5,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X26,Điểm thi THPT,2025,24.48,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)"
6,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X27,Điểm thi THPT,2025,24.48,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)"
7,ANH,an-ninh-mang-va-phong-chong-toi-pham-cong-nghe-cao,X28,Điểm thi THPT,2025,24.48,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)"
8,ANH,an-toan-thong-tin,A00,Điểm thi THPT,2021,23.14,An toàn thông tin
9,ANH,an-toan-thong-tin,A01,Điểm thi THPT,2021,24.86,An toàn thông tin
10,ANH,an-toan-thong-tin,A00,Điểm thi THPT,2022,21.85,An toàn thông tin
11,ANH,an-toan-thong-tin,A01,Điểm thi THPT,2022,23.26,An toàn thông tin
12,ANH,an-toan-thong-tin,A00,Điểm thi THPT,2023,21.08,An toàn thông tin
13,ANH,an-toan-thong-tin,A01,Điểm thi THPT,2023,21.08,An toàn thông tin
14,ANH,cong-nghe-thong-tin,A00,Điểm thi THPT,2024,18.69,Ngành Công nghệ thông tin
15,ANH,cong-nghe-thong-tin,A01,Điểm thi THPT,2024,18.69,Ngành Công nghệ thông tin
16,ANH,cong-nghe-thong-tin,A00,Điểm thi THPT,2025,21.98,Ngành Công nghệ thông tin (Thí sinh Nam)
17,ANH,cong-nghe-thong-tin,A01,Điểm thi THPT,2025,21.98,Ngành Công nghệ thông tin (Thí sinh Nam)
