nganh_slug,ten_nganh,nhom_nganh
bien-tap-xuat-ban,Biên tập xuất bản,Báo chí - Truyền thông
bieu-dien-nhac-cu-truyen-thong,Biểu diễn nhạc cụ truyền thống,Báo chí - Truyền thông
bao-chi,Báo chí,Báo chí - Truyền thông
bao-chi-chat-luong-cao,Báo chí - Chất lượng cao,Báo chí - Truyền thông
bao-phat-thanh,Báo phát thanh,Báo chí - Truyền thông
bao-truyen-hinh,Báo truyền hình,Báo chí - Truyền thông
bao-truyen-hinh-chat-luong-cao,Báo truyền hình chất lượng cao,Báo chí - Truyền thông
ct-dhnnqt-truyen-thong-marketing-tich-hop,CT ĐHNNQT truyền thông Marketing tích hợp,Báo chí - Truyền thông
chuong-trinh-dhnnqt-truyen-thong-marketing-tich-hop,Chương trình ĐHNNQT Truyền thông Marketing tích hợp,Báo chí - Truyền thông
cong-nghe-thong-tin-truyen-thong,Công nghệ thông tin - Truyền thông,Báo chí - Truyền thông
cong-nghe-thong-tin-va-truyen-thong,Công nghệ thông tin và truyền thông,Báo chí - Truyền thông
cong-nghe-thong-tin-va-truyen-thong-so,Công nghệ thông tin và truyền thông số,Báo chí - Truyền thông
cong-nghe-truyen-thong,Công nghệ truyền thông,Báo chí - Truyền thông
cong-nghe-dien-anh-truyen-hinh,"Công nghệ điện ảnh, truyền hình",Báo chí - Truyền thông
dien-vien-kich-dien-anh-truyen-hinh,"Diễn viên kịch, điện ảnh-truyền hình",Báo chí - Truyền thông
kinh-doanh-xuat-ban-pham,Kinh doanh xuất bản phẩm,Báo chí - Truyền thông
ky-thuat-truyen-thong-mang-may-tinh,Kỹ thuật truyền thông & mạng máy tính,Báo chí - Truyền thông
ky-thuat-truyen-thong-va-mang-may-tinh,Kỹ thuật truyền thông và mạng máy tính,Báo chí - Truyền thông
marketing-va-truyen-thong,Marketing và Truyền thông,Báo chí - Truyền thông
mang-may-tinh-truyen-thong-du-lieu,Mạng máy tính & truyền thông dữ liệu,Báo chí - Truyền thông
mang-may-tinh-va-truyen-thong,Mạng máy tính và truyền thông,Báo chí - Truyền thông
mang-may-tinh-va-truyen-thong-dl,Mạng máy tính và truyền thông DL,Báo chí - Truyền thông
mang-may-tinh-va-truyen-thong-du-lieu-chuong-trinh-tieu-chuan,Mạng máy tính và truyền thông dữ liệu - Chương trình tiêu chuẩn,Báo chí - Truyền thông
mang-may-tinh-va-truyen-thong-du-lieu,Mạng máy tính và truyền thông dữ liệu),Báo chí - Truyền thông
nghe-thuat-truyen-thong-duong-dai,Nghệ thuật truyền thông Đương đại,Báo chí - Truyền thông
pohe-truyen-thong-marketing,POHE - Truyền thông Marketing,Báo chí - Truyền thông
quan-he-chinh-tri-va-truyen-thong-quoc-te,Quan hệ chính trị và truyền thông quốc tế,Báo chí - Truyền thông
quan-he-cong-chung,Quan hệ công chúng,Báo chí - Truyền thông
quan-he-cong-chung-ct-clc2,Quan hệ công chúng - CT CLC2,Báo chí - Truyền thông
quan-he-cong-chung-chuyen-nghiep,Quan hệ công chúng chuyên nghiệp,Báo chí - Truyền thông
quan-he-quoc-te-va-truyen-thong-toan-cau,Quan hệ quốc tế và Truyền thông toàn cầu,Báo chí - Truyền thông
quay-phim-truyen-hinh,Quay phim truyền hình,Báo chí - Truyền thông
quan-tri-an-ninh-phi-truyen-thong,Quản trị An ninh phi truyền thống,Báo chí - Truyền thông
quan-tri-cong-nghe-truyen-thong,Quản trị công nghệ truyền thông,Báo chí - Truyền thông
quan-tri-kinh-doanh-quan-tri-hang-khong-quan-tri-truyen-thong,Quản trị kinh doanh; Quản trị hàng không; Quản trị truyền thông),Báo chí - Truyền thông
quan-tri-truyen-thong,Quản trị truyền thông,Báo chí - Truyền thông
quang-cao,Quảng cáo,Báo chí - Truyền thông
thiet-ke-da-phuong-tien-va-bao-chi-truyen-thong,Thiết kế đa phương tiện và Báo chí truyền thông),Báo chí - Truyền thông
tieng-anh-truyen-thong,Tiếng Anh truyền thông,Báo chí - Truyền thông
truyen-thong,Truyền thông,Báo chí - Truyền thông
truyen-thong-marketing,Truyền thông Marketing,Báo chí - Truyền thông
truyen-thong-van-hoa,Truyền thông Văn hóa,Báo chí - Truyền thông
truyen-thong-chinh-sach,Truyền thông chính sách,Báo chí - Truyền thông
truyen-thong-doanh-nghiep,Truyền thông doanh nghiệp,Báo chí - Truyền thông
truyen-thong-doanh-nghiep-so,Truyền thông doanh nghiệp số,Báo chí - Truyền thông
truyen-thong-quoc-te,Truyền thông quốc tế,Báo chí - Truyền thông
truyen-thong-so,Truyền thông số,Báo chí - Truyền thông
truyen-thong-so-va-ky-thuat-da-phuong-tien,Truyền thông số và Kỹ thuật đa phương tiện,Báo chí - Truyền thông
truyen-thong-so-va-thiet-ke-da-phuong-tien,Truyền thông số và thiết kế đa phương tiện,Báo chí - Truyền thông
truyen-thong-da-phuong-tien,Truyền thông đa phương tiện,Báo chí - Truyền thông
