ma_to_hop,ten_to_hop,cac_mon,nguon,so_mon
A00,"Toán, Vật lý, Hóa học","TOAN,LI,HOA",BoGD2025,3
A01,"Toán, Vật lý, Tiếng Anh","TOAN,LI,ANH",BoGD2025,3
A02,"Toán, Vật lý, Sinh học","TOAN,LI,SINH",BoGD2025,3
A03,"Toán, Vật lý, Lịch sử","TOAN,LI,SU",BoGD2025,3
A04,"Toán, Vật lý, Địa lý","TOAN,LI,DIA",BoGD2025,3
A05,"Toán, Hóa học, Lịch sử","TOAN,HOA,SU",BoGD2025,3
A06,"Toán, Hóa học, Địa lý","TOAN,HOA,DIA",BoGD2025,3
A07,"Toán, Lịch sử, Địa lý","TOAN,SU,DIA",BoGD2025,3
A08,"Toán, Lịch sử, Giáo dục công dân","TOAN,SU,GDCD",BoGD2025,3
A09,"Toán, Địa lý, Giáo dục công dân","TOAN,DIA,GDCD",BoGD2025,3
A10,"Toán, Vật lý, Giáo dục công dân","TOAN,LI,GDCD",BoGD2025,3
A11,"Toán, Hoá học, Giáo dục công dân","TOAN,HOA,GDCD",BoGD2025,3
A12,"Toán, Khoa học tự nhiên, Khoa học xã hội","TOAN,KHTN,KHXH",BoGD2025,3
A13,"Toán, Khoa học tự nhiên, Lịch sử","TOAN,KHTN,SU",BoGD2025,3
A14,"Toán, Khoa học tự nhiên, Địa lý","TOAN,KHTN,DIA",BoGD2025,3
A15,"Toán, Khoa học tự nhiên, Giáo dục công dân","TOAN,KHTN,GDCD",BoGD2025,3
A16,"Toán, Khoa học tự nhiên, Ngữ văn","TOAN,KHTN,VAN",BoGD2025,3
A17,"Toán, Vật lý, Khoa học xã hội","TOAN,LI,KHXH",BoGD2025,3
A18,"Toán, Hoá học, Khoa học xã hội","TOAN,HOA,KHXH",BoGD2025,3
A19,,,,0
A21,,,,0
B00,"Toán, Hóa học, Sinh học","TOAN,HOA,SINH",BoGD2025,3
B01,"Toán, Sinh học, Lịch sử","TOAN,SINH,SU",BoGD2025,3
B02,"Toán, Sinh học, Địa lý","TOAN,SINH,DIA",BoGD2025,3
B03,"Toán, Sinh học, Ngữ văn","TOAN,SINH,VAN",BoGD2025,3
B04,"Toán, Sinh học, Giáo dục công dân","TOAN,SINH,GDCD",BoGD2025,3
B05,"Toán, Sinh học, Khoa học xã hội","TOAN,SINH,KHXH",BoGD2025,3
B08,"Toán, Sinh học, Tiếng Anh","TOAN,SINH,ANH",BoGD2025,3
C00,"Ngữ văn, Lịch sử, Địa lý","VAN,SU,DIA",BoGD2025,3
C01,"Ngữ văn, Toán, Vật lý","VAN,TOAN,LI",BoGD2025,3
C02,"Ngữ văn, Toán, Hóa học","VAN,TOAN,HOA",BoGD2025,3
C03,"Ngữ văn, Toán, Lịch sử","VAN,TOAN,SU",BoGD2025,3
C04,"Ngữ văn, Toán, Địa lý","VAN,TOAN,DIA",BoGD2025,3
C05,"Ngữ văn, Vật lý, Hóa học","VAN,LI,HOA",BoGD2025,3
C06,"Ngữ văn, Vật lý, Sinh học","VAN,LI,SINH",BoGD2025,3
C07,"Ngữ văn, Vật lý, Lịch sử","VAN,LI,SU",BoGD2025,3
C08,"Ngữ văn, Hóa học, Sinh học","VAN,HOA,SINH",BoGD2025,3
C09,"Ngữ văn, Vật lý, Địa lý","VAN,LI,DIA",BoGD2025,3
C10,"Ngữ văn, Hóa học, Lịch sử","VAN,HOA,SU",BoGD2025,3
C11,"Ngữ văn, Hóa học, Địa lý","VAN,HOA,DIA",BoGD2025,3
C12,"Ngữ văn, Sinh học, Lịch sử","VAN,SINH,SU",BoGD2025,3
C13,"Ngữ văn, Sinh học, Địa lý","VAN,SINH,DIA",BoGD2025,3
C14,"Ngữ văn, Toán, Giáo dục công dân","VAN,TOAN,GDCD",BoGD2025,3
C15,"Ngữ văn, Toán, Khoa học xã hội","VAN,TOAN,KHXH",BoGD2025,3
C16,"Ngữ văn, Vật lý, Giáo dục công dân","VAN,LI,GDCD",BoGD2025,3
C17,"Ngữ văn, Hóa học, Giáo dục công dân","VAN,HOA,GDCD",BoGD2025,3
C18,"Ngữ văn, Sinh học, Giáo dục công dân","VAN,SINH,GDCD",BoGD2025,3
C19,"Ngữ văn, Lịch sử, Giáo dục công dân","VAN,SU,GDCD",BoGD2025,3
C20,"Ngữ văn, Địa lý, Giáo dục công dân","VAN,DIA,GDCD",BoGD2025,3
C21,"Ngữ văn, Khoa học tự nhiên, Khoa học xã hôi","VAN,KHTN,KHXH",BoGD2025,3
C22,"Ngữ văn, Địa lý, Khoa học tự nhiên","VAN,DIA,KHTN",BoGD2025,3
C23,"Ngữ văn, Giáo dục công dân, Khoa học tự nhiên","VAN,GDCD,KHTN",BoGD2025,3
C24,"Ngữ văn, Khoa học xã hội, Vật lý","VAN,KHXH,LI",BoGD2025,3
C25,"Ngữ văn, Khoa học xã hội, Hoá học","VAN,KHXH,HOA",BoGD2025,3
C26,"Ngữ văn, Khoa học xã hội, Sinh học","VAN,KHXH,SINH",BoGD2025,3
D00,,,,0
D01,"Ngữ văn, Toán, Tiếng Anh","VAN,TOAN,ANH",BoGD2025,3
D02,"Ngữ văn, Toán, Tiếng Nga","VAN,TOAN,NGA",BoGD2025,3
D03,"Ngữ văn, Toán, Tiếng Pháp","VAN,TOAN,PHAP",BoGD2025,3
D04,"Ngữ văn, Toán, Tiếng Trung","VAN,TOAN,TRUNG",BoGD2025,3
D05,"Ngữ văn, Toán, Tiếng Đức","VAN,TOAN,DUC",BoGD2025,3
D06,"Ngữ văn, Toán, Tiếng Nhật","VAN,TOAN,NHAT",BoGD2025,3
D07,"Toán, Hóa học, Tiếng Anh","TOAN,HOA,ANH",BoGD2025,3
D08,"Toán, Sinh học, Tiếng Anh","TOAN,SINH,ANH",BoGD2025,3
D09,"Toán, Lịch sử, Tiếng Anh","TOAN,SU,ANH",BoGD2025,3
D10,"Toán, Địa lý, Tiếng Anh","TOAN,DIA,ANH",BoGD2025,3
D11,"Ngữ văn, Vật lý, Tiếng Anh","VAN,LI,ANH",BoGD2025,3
D12,"Ngữ văn, Hóa học, Tiếng Anh","VAN,HOA,ANH",BoGD2025,3
D13,"Ngữ văn, Sinh học, Tiếng Anh","VAN,SINH,ANH",BoGD2025,3
D14,"Ngữ văn, Lịch sử, Tiếng Anh","VAN,SU,ANH",BoGD2025,3
D15,"Ngữ văn, Địa lý, Tiếng Anh","VAN,DIA,ANH",BoGD2025,3
D16,"Toán, Địa lý, Tiếng Đức","TOAN,DIA,DUC",BoGD2025,3
D17,"Toán, Địa lý, Tiếng Nga","TOAN,DIA,NGA",BoGD2025,3
D18,"Toán, Địa lý, Tiếng Nhật","TOAN,DIA,NHAT",BoGD2025,3
D19,"Toán, Địa lý, Tiếng Pháp","TOAN,DIA,PHAP",BoGD2025,3
D20,"Toán, Địa lý, Tiếng Trung","TOAN,DIA,TRUNG",BoGD2025,3
D21,"Toán, Hóa học, Tiếng Đức","TOAN,HOA,DUC",BoGD2025,3
D22,"Toán, Hóa học, Tiếng Nga","TOAN,HOA,NGA",BoGD2025,3
D23,"Toán, Hóa học, Tiếng Nhật","TOAN,HOA,NHAT",BoGD2025,3
D24,"Toán, Hóa học, Tiếng Pháp","TOAN,HOA,PHAP",BoGD2025,3
D25,"Toán, Hóa học, Tiếng Trung","TOAN,HOA,TRUNG",BoGD2025,3
D26,"Toán, Vật lý, Tiếng Đức","TOAN,LI,DUC",BoGD2025,3
D27,"Toán, Vật lý, Tiếng Nga","TOAN,LI,NGA",BoGD2025,3
D28,"Toán, Vật lý, Tiếng Nhật","TOAN,LI,NHAT",BoGD2025,3
D29,"Toán, Vật lý, Tiếng Pháp","TOAN,LI,PHAP",BoGD2025,3
D30,"Toán, Vật lý, Tiếng Trung","TOAN,LI,TRUNG",BoGD2025,3
D31,"Toán, Sinh học, Tiếng Đức","TOAN,SINH,DUC",BoGD2025,3
D32,"Toán, Sinh học, Tiếng Nga","TOAN,SINH,NGA",BoGD2025,3
D33,"Toán, Sinh học, Tiếng Nhật","TOAN,SINH,NHAT",BoGD2025,3
D34,"Toán, Sinh học, Tiếng Pháp","TOAN,SINH,PHAP",BoGD2025,3
D35,"Toán, Sinh học, Tiếng Trung","TOAN,SINH,TRUNG",BoGD2025,3
D36,"Toán, Lịch sử, Tiếng Đức","TOAN,SU,DUC",BoGD2025,3
D37,"Toán, Lịch sử, Tiếng Nga","TOAN,SU,NGA",BoGD2025,3
D38,"Toán, Lịch sử, Tiếng Nhật","TOAN,SU,NHAT",BoGD2025,3
D39,"Toán, Lịch sử, Tiếng Pháp","TOAN,SU,PHAP",BoGD2025,3
D40,"Toán, Lịch sử, Tiếng Trung","TOAN,SU,TRUNG",BoGD2025,3
D41,"Ngữ văn, Địa lý, Tiếng Đức","VAN,DIA,DUC",BoGD2025,3
D42,"Ngữ văn, Địa lý, Tiếng Nga","VAN,DIA,NGA",BoGD2025,3
D43,"Ngữ văn, Địa lý, Tiếng Nhật","VAN,DIA,NHAT",BoGD2025,3
D44,"Ngữ văn, Địa lý, Tiếng Pháp","VAN,DIA,PHAP",BoGD2025,3
D45,"Ngữ văn, Địa lý, Tiếng Trung","VAN,DIA,TRUNG",BoGD2025,3
D48,"Ngữ văn, Hóa học, Tiếng Nhật","VAN,HOA,NHAT",BoGD2025,3
D50,"Ngữ văn, Hóa học, Tiếng Trung","VAN,HOA,TRUNG",BoGD2025,3
D51,"Ngữ văn, Vật lý, Tiếng Đức","VAN,LI,DUC",BoGD2025,3
D52,"Ngữ văn, Vật lý, Tiếng Nga","VAN,LI,NGA",BoGD2025,3
D53,"Ngữ văn, Vật lý, Tiếng Nhật","VAN,LI,NHAT",BoGD2025,3
D54,"Ngữ văn, Vật lý, Tiếng Pháp","VAN,LI,PHAP",BoGD2025,3
D55,"Ngữ văn, Vật lý, Tiếng Trung","VAN,LI,TRUNG",BoGD2025,3
D58,"Ngữ văn, Sinh học, Tiếng Nhật","VAN,SINH,NHAT",BoGD2025,3
D60,"Ngữ văn, Sinh học, Tiếng Trung","VAN,SINH,TRUNG",BoGD2025,3
D61,"Ngữ văn, Lịch sử, Tiếng Đức","VAN,SU,DUC",BoGD2025,3
D62,"Ngữ văn, Lịch sử, Tiếng Nga","VAN,SU,NGA",BoGD2025,3
