ma_truong,ten_truong,viet_tat,tinh_thanh,vung_mien
ANH,Học Viện An Ninh Nhân Dân,PSA,Hà Nội,Miền Bắc
BPH,Học Viện Biên Phòng,HVBP,Hà Nội,Miền Bắc
HCP,Học Viện Chính Sách và Phát Triển,APD,Hà Nội,Miền Bắc
HCA,Học Viện Chính Trị Công An Nhân Dân,PPPA,Hà Nội,Miền Bắc
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,PTIT,Hà Nội,Miền Bắc
BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),,TP Hồ Chí Minh,Miền Nam
CSH,Học Viện Cảnh Sát Nhân Dân,PPA,Hà Nội,Miền Bắc
HVD,Học Viện Dân Tộc,VAEM,Hà Nội,Miền Bắc
HHK,Học Viện Hàng không Việt Nam,VAA,TP Hồ Chí Minh,Miền Nam
HCS,Học Viện Hành Chính Và Quản Trị Công (phía Nam),NAPA,TP Hồ Chí Minh,Miền Nam
HCH,Học Viện Hành Chính và Quản trị công,APAG,Hà Nội,Miền Bắc
HQH,Học Viện Hải Quân,,Khánh Hòa,Miền Trung
HFH,Học Viện Hậu Cần - Hệ Dân sự,,Hà Nội,Miền Bắc
HEH,Học Viện Hậu Cần - Hệ Quân sự,MAL,Hà Nội,Miền Bắc
DNH,Học Viện Khoa Học Quân Sự - Hệ Dân sự,,Hà Nội,Miền Bắc
NQH,Học Viện Khoa Học Quân Sự - Hệ Quân sự,MSA,Hà Nội,Miền Bắc
KMA,Học Viện Kỹ Thuật Mật Mã,KMA,Hà Nội,Miền Bắc
DQH,Học Viện Kỹ Thuật Quân Sự - Hệ Dân sự,,Hà Nội,Miền Bắc
KQH,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,MTA,Hà Nội,Miền Bắc
HQT,Học Viện Ngoại Giao,DAV,Hà Nội,Miền Bắc
NHH,Học Viện Ngân Hàng,BAV,Hà Nội,Miền Bắc
