tinh_cu,tinh_thanh,vung_mien
Hà Nội,Hà Nội,Miền Bắc
Hải Phòng,Hải Phòng,Miền Bắc
Hải Dương,Hải Phòng,Miền Bắc
Quảng Ninh,Quảng Ninh,Miền Bắc
Lạng Sơn,Lạng Sơn,Miền Bắc
Cao Bằng,Cao Bằng,Miền Bắc
Bắc Kạn,Thái Nguyên,Miền Bắc
Thái Nguyên,Thái Nguyên,Miền Bắc
Hà Giang,Tuyên Quang,Miền Bắc
Tuyên Quang,Tuyên Quang,Miền Bắc
Yên Bái,Lào Cai,Miền Bắc
Lào Cai,Lào Cai,Miền Bắc
Lai Châu,Lai Châu,Miền Bắc
Điện Biên,Điện Biên,Miền Bắc
Sơn La,Sơn La,Miền Bắc
Hòa Bình,Phú Thọ,Miền Bắc
Vĩnh Phúc,Phú Thọ,Miền Bắc
Phú Thọ,Phú Thọ,Miền Bắc
Bắc Giang,Bắc Ninh,Miền Bắc
Bắc Ninh,Bắc Ninh,Miền Bắc
Thái Bình,Hưng Yên,Miền Bắc
Hưng Yên,Hưng Yên,Miền Bắc
Hà Nam,Ninh Bình,Miền Bắc
Nam Định,Ninh Bình,Miền Bắc
Ninh Bình,Ninh Bình,Miền Bắc
Thanh Hóa,Thanh Hóa,Miền Trung
Nghệ An,Nghệ An,Miền Trung
Hà Tĩnh,Hà Tĩnh,Miền Trung
Quảng Bình,Quảng Trị,Miền Trung
Quảng Trị,Quảng Trị,Miền Trung
Thừa Thiên Huế,Huế,Miền Trung
Huế,Huế,Miền Trung
Quảng Nam,Đà Nẵng,Miền Trung
Đà Nẵng,Đà Nẵng,Miền Trung
Kon Tum,Quảng Ngãi,Miền Trung
Quảng Ngãi,Quảng Ngãi,Miền Trung
Bình Định,Gia Lai,Miền Trung
Gia Lai,Gia Lai,Miền Trung
Phú Yên,Đắk Lắk,Miền Trung
Đắk Lắk,Đắk Lắk,Miền Trung
Ninh Thuận,Khánh Hòa,Miền Trung
Khánh Hòa,Khánh Hòa,Miền Trung
Bình Thuận,Lâm Đồng,Miền Trung
Đắk Nông,Lâm Đồng,Miền Trung
Lâm Đồng,Lâm Đồng,Miền Trung
Bình Phước,Đồng Nai,Miền Nam
Đồng Nai,Đồng Nai,Miền Nam
Bình Dương,TP Hồ Chí Minh,Miền Nam
Bà Rịa Vũng Tàu,TP Hồ Chí Minh,Miền Nam
TP Hồ Chí Minh,TP Hồ Chí Minh,Miền Nam
Long An,Tây Ninh,Miền Nam
Tây Ninh,Tây Ninh,Miền Nam
Bến Tre,Vĩnh Long,Miền Nam
Trà Vinh,Vĩnh Long,Miền Nam
Vĩnh Long,Vĩnh Long,Miền Nam
Tiền Giang,Đồng Tháp,Miền Nam
Đồng Tháp,Đồng Tháp,Miền Nam
Sóc Trăng,Cần Thơ,Miền Nam
Hậu Giang,Cần Thơ,Miền Nam
Cần Thơ,Cần Thơ,Miền Nam
Bạc Liêu,Cà Mau,Miền Nam
Cà Mau,Cà Mau,Miền Nam
Kiên Giang,An Giang,Miền Nam
An Giang,An Giang,Miền Nam
