ma_truong,ten_truong_ghi_nho,tinh_cu
ANH,Học Viện An Ninh Nhân Dân,Hà Nội
BPH,Học Viện Biên Phòng,Hà Nội
HCP,Học Viện Chính Sách và Phát Triển,Hà Nội
HCA,Học Viện Chính Trị Công An Nhân Dân,Hà Nội
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,Hà Nội
CSH,Học Viện Cảnh Sát Nhân Dân,Hà Nội
HVD,Học Viện Dân Tộc,Hà Nội
HHK,Học Viện Hàng không Việt Nam,TP Hồ Chí Minh
HCS,Học Viện Hành Chính Và Quản Trị Công (phía Nam),TP Hồ Chí Minh
HCH,Học Viện Hành Chính và Quản trị công,Hà Nội
HQH,Học Viện Hải Quân,Khánh Hòa
HFH,Học Viện Hậu Cần - Hệ Dân sự,Hà Nội
HEH,Học Viện Hậu Cần - Hệ Quân sự,Hà Nội
DNH,Học Viện Khoa Học Quân Sự - Hệ Dân sự,Hà Nội
NQH,Học Viện Khoa Học Quân Sự - Hệ Quân sự,Hà Nội
KMA,Học Viện Kỹ Thuật Mật Mã,Hà Nội
DQH,Học Viện Kỹ Thuật Quân Sự - Hệ Dân sự,Hà Nội
KQH,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,Hà Nội
HQT,Học Viện Ngoại Giao,Hà Nội
NHH,Học Viện Ngân Hàng,Hà Nội
HVN,Học Viện Nông Nghiệp Việt Nam,Hà Nội
PKH,Học Viện Phòng Không – Không Quân,Hà Nội
HPN,Học Viện Phụ Nữ Việt Nam,Hà Nội
DYH,Học Viện Quân Y - Hệ Dân sự,Hà Nội
YQH,Học Viện Quân Y - Hệ Quân sự,Hà Nội
HVQ,Học Viện Quản Lý Giáo Dục,Hà Nội
HTN,Học Viện Thanh Thiếu Niên Việt Nam,Hà Nội
HTC,Học Viện Tài chính,Hà Nội
HYD,Học Viện Y Dược Học Cổ Truyền Việt Nam,Hà Nội
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội
PCH,Học viện Phòng cháy chữa cháy và Cứu nạn cứu hộ,Hà Nội
HTA,Học viện Tòa án,Hà Nội
LCH,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,Bắc Ninh
SNH,Trường Sĩ Quan Công Binh - Đại học Ngô Quyền,Bình Dương
KGH,Trường Sĩ Quan Không Quân,Khánh Hòa
LAH,Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,Hà Nội
PBH,Trường Sĩ Quan Pháo Binh,Hà Nội
HGH,Trường Sĩ Quan Phòng Hóa,Hà Nội
TCU,Trường Sĩ Quan Thông Tin - Hệ Dân Sự,Khánh Hòa
TTH,Trường Sĩ Quan Thông Tin - Hệ Quân sự,Khánh Hòa
TGH,Trường Sĩ Quan Tăng - Thiết Giáp,Vĩnh Phúc
DCH,Trường Sĩ Quan Đặc Công,Hà Nội
ANS,Trường Đại Học An Ninh Nhân Dân,TP Hồ Chí Minh
VHD,Trường Đại Học Công Nghiệp Việt - Hung,Hà Nội
DCQ,Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,Hà Nội
LDA,Trường Đại Học Công Đoàn,Hà Nội
CSS,Trường Đại Học Cảnh Sát Nhân Dân,TP Hồ Chí Minh
GHA,Trường Đại Học Giao Thông Vận Tải,Hà Nội
GSA,Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),TP Hồ Chí Minh
HHA,Trường Đại Học Hàng Hải Việt Nam,Hải Phòng
DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Hà Nội
DLX,Trường Đại Học Lao Động – Xã Hội,Hà Nội
DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),TP Hồ Chí Minh
LNH,Trường Đại Học Lâm nghiệp,Hà Nội
MDA,Trường Đại Học Mỏ Địa Chất,Hà Nội
MTC,Trường Đại Học Mỹ Thuật Công Nghiệp,Hà Nội
MTH,Trường Đại Học Mỹ Thuật Việt Nam,Hà Nội
PCS,Trường Đại Học Phòng Cháy Chữa Cháy (phía Nam),TP Hồ Chí Minh
GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,Hà Nội
TMU,Trường Đại Học Thương Mại,Hà Nội
TLA,Trường Đại Học Thủy Lợi,Hà Nội
TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),TP Hồ Chí Minh
DVP,Trường Đại Học Trưng Vương,Vĩnh Phúc
DMS,Trường Đại Học Tài Chính Marketing,TP Hồ Chí Minh
TYS,Trường Đại Học Y Khoa Phạm Ngọc Thạch,TP Hồ Chí Minh
YTC,Trường Đại Học Y Tế Công Cộng,Hà Nội
DDL,Trường Đại Học Điện Lực,Hà Nội
GTA,Trường Đại học Công nghệ Giao thông vận tải,Hà Nội
DKS,Trường Đại học Kiểm Sát,Hà Nội
NTH,Trường Đại học Ngoại thương,Hà Nội
NTS,Trường Đại học Ngoại thương (Cơ sở II),TP Hồ Chí Minh
UFA,Trường Đại học Tài Chính Kế Toán,Quảng Ngãi
DFA,Trường Đại học Tài chính Quản trị kinh doanh,Hưng Yên
KHA,Đại Học Kinh Tế Quốc Dân,Hà Nội
BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),TP Hồ Chí Minh
QSB,Trường Đại Học Bách Khoa HCM,TP Hồ Chí Minh
DDA,Trường Đại Học Công Nghệ Đông Á,Bắc Ninh
DAD,Trường Đại Học Đông Á,Đà Nẵng
EIU,Trường Đại Học Quốc Tế Miền Đông,Bình Dương
MIT,Trường Đại học Công nghệ Miền Đông,Đồng Nai
