SO TRUONG THIEU: 112
BMU   | Trường Đại học Y Dược Buôn Ma Thuột | Đắk Lắk
BPH   | Học Viện Biên Phòng | Hà Nội
CEA   | Trường Đại học Nghệ An | Nghệ An
CMC   | Trường Đại Học CMC | Hà Nội
DBG   | Trường Đại học Nông Lâm Bắc Giang | Bắc Ninh
DCA   | Trường Đại học Intracom | Hà Nội
DCH   | Trường Sĩ Quan Đặc Công | Hà Nội
DCQ   | Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị | Hà Nội
DCT   | Trường Đại Học Công Thương TPHCM | TP Hồ Chí Minh
DCV   | Trường Đại học Công nghiệp Vinh | Nghệ An
DDA   | Trường Đại Học Công Nghệ Đông Á | Bắc Ninh
DDB   | Trường Đại Học Thành Đông | Hải Phòng
DDF   | Trường Đại Học Ngoại Ngữ Đà Nẵng | Đà Nẵng
DDV   | Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng | Đà Nẵng
DHC   | Khoa Giáo Dục Thể Chất Huế | Huế
DHE   | Khoa Kỹ thuật và Công nghệ - Đại học Huế | Huế
DHQ   | Phân Hiệu Đại Học Huế tại Quảng Trị | Quảng Trị
DKB   | Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương | TP Hồ Chí Minh
DKT   | Trường Đại Học Hải Dương | Hải Phòng
DNC   | Trường Đại học Nam Cần Thơ | Cần Thơ
DNH   | Học Viện Khoa Học Quân Sự - Hệ Dân sự | Hà Nội
DPD   | Trường Đại Học Phương Đông | Hà Nội
DPQ   | Trường Đại Học Phạm Văn Đồng | Quảng Ngãi
DPT   | Trường Đại Học Phan Thiết | Lâm Đồng
DSK   | Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng | Đà Nẵng
DTC   | Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên | Thái Nguyên
DTF   | Trường Ngoại Ngữ Thái Nguyên | Thái Nguyên
DTG   | Phân hiệu Đại học Thái Nguyên tại Hà Giang | Thái Nguyên
DTP   | Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai | Thái Nguyên
DTQ   | Khoa Quốc Tế - Đại Học Thái Nguyên | Thái Nguyên
DVB   | Trường Đại Học Kinh tế công nghệ Thái Nguyên | Thái Nguyên
DVD   | Trường Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa | Thanh Hóa
DVP   | Trường Đại Học Trưng Vương | Phú Thọ
DYH   | Học Viện Quân Y - Hệ Dân sự | Hà Nội
EIU   | Trường Đại Học Quốc Tế Miền Đông | TP Hồ Chí Minh
FBU   | Trường Đại Học Tài Chính Ngân Hàng Hà Nội | Hà Nội
HCB   | Học viện Kỹ thuật và Công nghệ an ninh (Phía Bắc) | Nghệ An
HCN   | Học viện Kỹ thuật và Công nghệ an ninh (Phía Nam) | Nghệ An
HCP   | Học Viện Chính Sách và Phát Triển | Hà Nội
HCS   | Học Viện Hành Chính Và Quản Trị Công (phía Nam) | TP Hồ Chí Minh
HEH   | Học Viện Hậu Cần - Hệ Quân sự | Hà Nội
HFH   | Học Viện Hậu Cần - Hệ Dân sự | Hà Nội
HGH   | Trường Sĩ Quan Phòng Hóa | Hà Nội
HLU   | Trường Đại Học Hạ Long | Quảng Ninh
HQT   | Học Viện Ngoại Giao | Hà Nội
